date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:26	1342/1342	---MCZ	200	added ('OK')	text/html	etag:W/%221278-17502d6fbc8%22	https://plumegame.com/robots.txt		(from )
21:50:26	4728/4728	---MCZ	200	added ('OK')	text/html	etag:W/%221278-17502d6fbc8%22	https://plumegame.com/	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/index.html	(from )
21:50:28	954062/954062	---MCZ	200	added ('OK')	image/png	etag:W/%22e8ece-17502d6f7e0%22	https://plumegame.com/assets/images/share/facebook.png?v=1.0.0	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/share/facebooke209.png	(from https://plumegame.com/)
21:50:28	63956/63956	---MCZ	200	added ('OK')	text/css	etag:W/%22f9d4-17502d6fbc8%22	https://plumegame.com/build/main.css	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/build/main.css	(from https://plumegame.com/)
21:50:29	1960/1960	---MCZ	200	added ('OK')	image/png	etag:W/%227a8-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-57x57.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-57x57.png	(from https://plumegame.com/)
21:50:29	693947/693947	---MCZ	200	added ('OK')	image/png	etag:W/%22a96bb-17502d6f7e0%22	https://plumegame.com/assets/images/share/twitter.png?v=1.0.0	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/share/twittere209.png	(from https://plumegame.com/)
21:50:30	1964/1964	---MCZ	200	added ('OK')	image/png	etag:W/%227ac-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-60x60.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-60x60.png	(from https://plumegame.com/)
21:50:30	2147/2147	---MCZ	200	added ('OK')	image/png	etag:W/%22863-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-72x72.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-72x72.png	(from https://plumegame.com/)
21:50:31	2225/2225	---MCZ	200	added ('OK')	image/png	etag:W/%228b1-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-76x76.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-76x76.png	(from https://plumegame.com/)
21:50:31	2663/2663	---MCZ	200	added ('OK')	image/png	etag:W/%22a67-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-114x114.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-114x114.png	(from https://plumegame.com/)
21:50:32	2756/2756	---MCZ	200	added ('OK')	image/png	etag:W/%22ac4-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-120x120.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-120x120.png	(from https://plumegame.com/)
21:50:32	3080/3080	---MCZ	200	added ('OK')	image/png	etag:W/%22c08-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-144x144.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-144x144.png	(from https://plumegame.com/)
21:50:32	3243/3243	---MCZ	200	added ('OK')	image/png	etag:W/%22cab-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-152x152.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-152x152.png	(from https://plumegame.com/)
21:50:33	3651/3651	---MCZ	200	added ('OK')	image/png	etag:W/%22e43-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-180x180.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/apple-icon-180x180.png	(from https://plumegame.com/)
21:50:33	2827/2827	---MCZ	200	added ('OK')	image/png	etag:W/%22b0b-17502d6f7e0%22	https://plumegame.com/assets/images/fav/android-icon-192x192.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/android-icon-192x192.png	(from https://plumegame.com/)
21:50:33	1566/1566	---MCZ	200	added ('OK')	image/png	etag:W/%2261e-17502d6f7e0%22	https://plumegame.com/assets/images/fav/favicon-32x32.png	C:/Mes%20Sites%20Web/httpsplume/plumegame.com/assets/images/fav/favicon-32x32.png	(from https://plumegame.com/)
